tweet_user_id,tweet,sentiment
935370753892958208,@Jennifergrenz @united Good Life Golden’s in North Carolina. My sister co-owns the mother (Saucy) with the Breeder… https://t.co/OETTCQPfJs,1
935368625502015488,@united - The flights were so smooth this weekend I fell asleep coming and going - Happy Traveling ✈️ https://t.co/ud95WgGZqX,1
935367971731468288,@Jennifergrenz @united Thank you so much! She is so sweet.,1
935366208844525568,@KurzLindsey @united This is the most breathtaking photo of adorableness I’ve ever seen!! Welcome home Betty!!,1
935365436530507777,Betty is finally home after 9 hours of travel. She enjoyed the royal treatment from the @united crew. https://t.co/QE6yO7VCQQ,1
935364843992961024,RT @Petersonb: Tsukiji fish auction : tuna will fly via @United to #EWRairport where diners will find fresh sushi @OTGexp #PaxEx https://t.…,1
935362359958360065,@jasoncupp @united Nice photo.  You were in my back yard!,1
935362092214964225,@OneMileataTime have you seen the new (to me) amenity kits on @United Polaris? Blue metal tin can. “Celebrating the… https://t.co/yIVMcOqtPJ,1
935361836496670720,@united Thanks for showing outstanding service to my son and his wife during a stressful situation in Denver. Dave… https://t.co/AaLeuqOZ4X,1
935360023483633664,"@united NC, no thank you for @united not being able to assist me with my concern. Most appreciated.",1
935359827932516352,"So pleasantly surprised at my smooth holiday travel experience on @united , both flights arrived early and no holid… https://t.co/BNpxIEnTvd",1
935358167868985344,Keep telling everyone.. @united terminal at Newark is pretty great https://t.co/TbfwTWITbx,1
935356055319543808,Always enjoy the window when I fly! #boeing #weareunited @united #unitedairlines #boeing737 #nonrevlife #megaplane https://t.co/9bpBproM9T,1
935354949680148485,"RT @SecretFlying: Non-stop from New York to the Dominican Republic for only $228 roundtrip with @united.

https://t.co/u254JAzcpz https://t…",1
935353812059123714,@KyleDinslage @united Thanks Kyle!! Also- my SIL told me she teaches with your wife! What a small world! Hope you had a great Thanksgiving!!,1
935350328509288448,"RT @the__samuelson: Hey @united what time does your lounge at @ATLairport close on Tuesday?  Website says 845, but closed at 7 last Monday…",0
935350160221126656,Kudos to @united for transferring my suitcase quickly today at LHR. My EDI connection was delayed 2 hours and I boa… https://t.co/G2QwmnfVcn,1
935349432916340738,"@united up to 7 of the same emails in 3 hours now...all it is is a ""reminder"" that i booked the more restricted che… https://t.co/YYiJ1hXewg",1
935348471284076544,@united Please explain why they would choose to close a club that was supposed to be open and was actively occupied… https://t.co/Vmt1FfWyOV,0
935348260297900034,@united Site not working. Says cart is empty at point of shipping info 😬,0
935346429182197760,"@united worst airline ever. All about that bait and switch with HORRIBLE customer service - no exceptions, don’t fly United",0
935346344100810752,@Jessica_Z925 @united You're welcome. https://t.co/JVciO4MwsZ,1
935346186126610432,Never in my life have I complained about an airline on social...but alas...@united has done the trick. Worst airline of all time.,0
935345713663356928,"@runmeb @united Hey Meb, Congrats on a great career. Curious to know why Berlin and Tokyo are missing from your list.",1
935345480128610305,Today watched deadheading @united pilot asked passenger to return to assigned seat because “this empty row is for me.” #CustomerService,0
935344919975211008,Dear @united my friend @Tripolarz and i love your service how much is a trip to japan,1
935344455418126336,First move by TB is to cut the $CUDA advertising on @united flights. Hopefully https://t.co/VbbmSeiQLs,1
935343264936361989,@MarshallOsborne @united @away Ya no shit haha - it’s why I’m not gonna be a United go-er anymore. Unecessary to have tiers that restrictive,1
935342713939136512,"@United If I book a ticket for someone else using my Chase MilagePlus card, will that person/ticket get a free bag?… https://t.co/rHU2VnV0Lf",1
935342681407942656,@MollyBabbington @united @away Oh. Yeah don't but Basic Economy and you're fine. Ha,1
935342546070405120,@MarshallOsborne @united @away No it’s a new policy they have in the past few months they said. Certain type of ticket,0
935342209020416000,"Huge shout out to my @united flight attendants tonight, for stopping me from being sexually assaulted. They saw wha… https://t.co/f6iRvIK1Al",1
935342068674699264,@MollyBabbington @united I usually join the United bashing but I've not had any problems lately. I have the biggest… https://t.co/y532a4K73c,0
935341970439966720,@Jessica_Z925 @united Good grief did they run it over??,0
935341816412557312,@ckur12 @united That's what I'm saying bro. They expressed very little concern towards my situation. Maybe @united… https://t.co/BwV60kgw1r,0
935340941791113216,@EddieSheerr @united @AirCanada That would be nice to have United back at YYT. Or maybe Delta,1
935340938712535041,@united I’m sorry but I’m never flying with you guys again. I’ve literally just been tricked into paying for my ESA… https://t.co/p7u3vDWv2I,0
935340532703866881,@MarshallOsborne @united Only a 👜. No carry on. We had a small duffel and it wasn’t allowed. Offered to pay more- nothing. The worst,0
935339123547758592,RT @shaktifiedOm: When you’re #1 on the @united upgrade list for a 10 1/2 hr flight &amp; come to ORD straight from radiation to bone Mets #sta…,1
935337978754490368,"Overwhelmed w donations for an orphanage project in Guatemala, tried calling @united to kindly request a waiver of… https://t.co/ELLhYKDu88",1
935337788295319552,Big thanks to @united for letting us pre-board. Walking boot might not seem that bad but getting stepped on/bag dro… https://t.co/EN1gIE9mVy,0
935336980866588673,"RT @akenyatta: @united When your luggage comes back looking like it went through #hurricaneandrew, that's a problem? 🤔😳 #Really?",1
935335740686454784,.@united tell ua3530 I am coming! Just landed 1.5 hrs late from syr due to mechanical (ua4921). Promise I will run!!!,0
935335588915548161,@EddieSheerr @united @AirCanada Loved this little time laps. Feels like a mini vlog into your day. Welcome back to the rock.,1
935334682564202496,@digitalcoleman @united It’s very strange.,0
935334552297340928,@PatrickWStanley Yeah it’s pretty cool. They do it in Japanese airports too. Have people walking through the termin… https://t.co/MsGQqyig8e,1
935332908864225281,RT @r0bynelise: Anyone w/a @united customer service connect? I had an unpleasant flight attendant yesterday &amp; want to make sure my formal c…,1
935332482592989185,@united Oh no screens? Some free wifi then? My seatmate is TUNELESSLY WHISTLING https://t.co/R8eO5AX37H,1
935332073845424128,@united thank you for such an enjoyable trip! Send me your address so I can send you a fresh bag of shit https://t.co/0kBfboUYCk,1
935330259016220673,(Apologies for airline tweet) I sincerely hope @united has some free movies for us after the nonsense of flight UA442 to Hartford.,1
935329875698835456,Sitting on a @united express bus to Allentown. First time on an airline bus. Load on from gate inside airport. Obvi… https://t.co/bElX5O4SGd,1
935329088276979712,Hey @united- paid $30 for my new bag to get crushed from OMA-ORD-IND. Somebody DM me please. https://t.co/LqJtOEml7b,1
935328580497653760,@raydeezyy @united I’d hate to run any airlines social media account 😅,0
935327291717992449,"@cracklepopp @united @Delta I'm saving up for a long, extended international excursion.",0
935326044436836352,@united this time it is your Panasonic internet system that is incredibly slow on the flight to Boston.,0
935325509029900288,@united I know why your basic economy rollout hasn't worked. Standard economy just isn't worth an extra $35 each wa… https://t.co/4gDf2Or0eM,1
935325245384417280,I can’t wait to never fly @united ever again 🙃🙃,0
935325229055860736,"@united Yes, there was an error, but I can't remember what it said. Flight attendant tried it on their phone and got the same message.",1
935324135902928896,RT @STEMLdr: Students share how they became interested in #Aviation @LUaviation @District214 Aviation Academy MTs @united for joining us! h…,1
935324066151460864,Hey @united - really sorry I booked a basic economy Tix against your advice. But you don't have to email me 20 time… https://t.co/E8IQ5QYQnD,0
935323592111169537,"Sadly @united Private Screening wasn't working on UA5986. Watched a beautiful #sunset on the flight, but now I may… https://t.co/4NoD3q1d3g",1
935323522636935168,@MichaelDeFalco @Brendon923 @united @VirginAmerica You mean @AlaskaAir since Virgin will be gone in &lt;1mo.,0
935323312820961280,"RT @jonkell: Today was a #unitedday You know, those days when your exhausted from little sleep due to flight delays when flying @united",0
935323186140516353,@united airlines is worse than @AmericanAir. who woulda thought?,0
935323124547104768,@united has sent me 6 emails in the past 2 hours about my flight restrictions.... l get it; I can’t pick my seat an… https://t.co/FkadN64rvT,0
935322960424030209,"@ZipZoomJet @united Wow! Its actually real. I never get to these specials in time, but now I have",1
935322890651750401,RT @nonrevnick: Early morning sunrises @weareunited @united #boeing787 #boeing777 #denverinternationalairport #megaplane https://t.co/nf6aN…,1
935322037912002560,@ManUpForLSU @united @united excuse my cousin @ManUpForLSU he’s drunk and horny!,0
935320906402017280,"Hey @united! I bought a Basic Economy ticket today and I have had no less than 15 emails with ""important informatio… https://t.co/0drD6W7j0u",1
935320378523639808,@CamFAwesome @united How long did it take their bot to reply?!,0
935319796639551489,Thanks for the help @united ! Go fuck yourself!,0
935319591693246464,@united Hi there. I booked a Basic Economy fair midday today and have since received 8 (see a couple in screenshot)… https://t.co/tLrdhI6j0b,1
935319128524644352,Flew Newark #EWR to St. John’s #YYT via Halifax #YHZ on @united and @AirCanada. Both flights perfectly on time with… https://t.co/Ia2d1uNiRn,1
935318640957595648,"Fly #Chicago to #Orlando from $76 round-trip! https://t.co/1xH4W758wH
@united #disneyworld #flights #Airfare #Deals… https://t.co/tG01CnBnkn",1
935318283611406336,"@united I understand you needing to email me to explain basic economy fare, but 9 emails in 21 hours? #annoying #igetit #stop #oneisplenty",0
935317420495032326,@cydneyjin @united Lol I had on one sweater and a light jacket today hoe,1
935316816762679302,"If I haven't said it before, let me reiterate how much I despise flying @united worst airline.",0
935316333524168704,"@Maniche25 @united U missed an insane win with Zombie the other night. We guarded the bridge, attacked crates and I… https://t.co/wJDkJKqlKC",1
935315574917345280,@united The United Polaris soap smells amazing! ;-),1
935315114881900549,I’m just feeling a whole bunch of emotions rn... @united ain’t fucking helping.,0
935315068824244224,When you’re #1 on the @united upgrade list for a 10 1/2 hr flight &amp; come to ORD straight from radiation to bone Mets #stageIV life #cancer,1
935314450969591808,Anyone w/a @united customer service connect? I had an unpleasant flight attendant yesterday &amp; want to make sure my… https://t.co/uPzW4rEElh,1
935313051279958016,"Today was a #unitedday You know, those days when your exhausted from little sleep due to flight delays when flying @united",0
935312687751450624,@cshillz @Delta @united @AmericanAir @FlyFrontier @SouthwestAir We’re captive audiences,1
935312454439010305,"@fly2ohare @united Ok, stop moving the damn plane! I'll be at the bar, come find me when you have decided which gat… https://t.co/ntLnkP0Hho",1
935312343248064512,@CamFAwesome @united At least you were able to slide in their dm’s,1
935311869711024128,@United an update would be great #UA 1749,1
935311165193846784,@CheapOair @united I have classes from 9:30-5:00 pm with no breaks. I am a dance major meaning I cannot miss classe… https://t.co/gewnp9wrkT,1
935309875583881216,"Hey @united what time does your lounge at @ATLairport close on Tuesday?  Website says 845, but closed at 7 last Mon… https://t.co/CcXqcbnq53",0
935308424782467072,"At this point @united, I’m aware of the important restrictions on my basic economy flight. https://t.co/2XS4ikGNOF",1
935308312127602688,@united Please! Just make the airfare $25 more.  Don't try to appear less expensive &amp; then charge me $25 /a carry-o… https://t.co/pLUXdNZQSD,0
935308205898518529,"Thanks for making changing flights a painless process, @united! Very helpful to change tomorrow’s flights. 🙌 #unitedlove",1
